Product Name,Sales,Profit
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,35.415
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,-46.9764
"Global Fabric Manager's Chair, Dark Gray",212.058,-15.147
Plantronics HL10 Handset Lifter,371.168,41.7564
Panasonic Kx-TS550,147.168,16.5564
"Eldon Base for stackable storage shelf, platinum",77.88,3.89399999999999
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,9.56160000000001
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,19.7714
Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,8.2062
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,8.47839999999999
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,4.95
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,6.104
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,17.9634
Avery 485,75.18,35.3346
Longer-Life Soft White Bulbs,6.16,2.9568
"Global Leather Task Chair, Black",89.99,17.0981
Advantus Push Pins,15.26,6.2566
AT&T CL83451 4-Handset Telephone,1029.95,298.6855
Home/Office Personal File Carts,208.56,52.14
Xerox 232,32.4,15.552
Novimex Turbo Task Chair,319.41,7.09800000000001
"Array Parchment Paper, Assorted Colors",14.56,6.9888
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,3.3
Plastic Binding Combs,48.48,16.362
Prang Dustless Chalk Sticks,1.68,0.84
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,6.1512
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,9.3612
Xerox 1943,146.73,68.9631
Luxo Economy Swing Arm Lamp,79.76,22.3328
"Global Value Mid-Back Manager's Chair, Gray",213.115,-15.2225
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,111.3024
netTALK DUO VoIP Telephone Service,167.968,62.988
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,35.6636
Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.731
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,8.763
High-Back Leather Manager's Chair,831.936,-114.3912
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,1.213
Safco Industrial Wire Shelving System,72.784,-18.196
Economy Binders,1.248,-1.9344
"6"" Cubicle Wall Clock, Black",9.708,-5.8248
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2.724
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,-14.475
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,56.2032
Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,8.0352
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,4.172
"Sortfiler Multipurpose Personal File Organizer, Black",21.39,6.2031
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,62.8075
Safco Industrial Wire Shelving,230.376,-48.9549
Novimex Swivel Fabric Task Chair,301.96,33.2156
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,6.7966
Avery 511,6.16,2.9568
Eldon Portable Mobile Manager,158.368,13.8572
Turquoise Lead Holder with Pocket Clip,20.1,6.633
Panasonic Kx-TS550,73.584,8.2782
Xerox 1995,6.48,3.1104
Xerox 1999,12.96,6.2208
"Seth Thomas 13 1/2"" Wall Clock",53.34,16.5354
Ibico Standard Transparent Covers,32.96,16.1504
Flexible Leather- Look Classic Collection Ring Binder,5.682,-3.788
9-3/4 Diameter Round Wall Clock,96.53,40.5426
Trimflex Flexible Post Binders,51.312,17.9592
Fellowes Basic Home/Office Series Surge Protectors,77.88,22.5852
Avery Personal Creations Heavyweight Cards,64.624,22.6184
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,-10.7973
Avery Hidden Tab Dividers for Binding Systems,1.788,-3.0396
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,11.7208
Logitech K350 2.4Ghz Wireless Keyboard,238.896,-26.8758
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,-3.83850000000001
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,-25.8174
Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,17.6016
Speck Products Candyshell Flip Case,27.992,2.0994
Newell Chalk Holder,3.304,1.0738
Logitech Gaming G510s - Keyboard,339.96,67.992
Magnifier Swing Arm Lamp,41.96,10.9096
"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,22.788
"Avery Durable Plastic 1"" Binders",27.24,13.3476
"OIC Colored Binder Clips, Assorted Sizes",40.096,14.5348
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,1.652
Xerox 1921,23.976,7.4925
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,44.0316
Hon Racetrack Conference Tables,787.53,165.3813
GBC DocuBind 300 Electric Binding Machine,157.794,-115.7156
Artistic Insta-Plaque,47.04,18.3456
DXL Angle-View Binders with Locking Rings by Samsill,30.84,13.878
"Companion Letter/Legal File, Black",226.56,63.4368
Globe Weis Peel & Seel First Class Envelopes,115.02,51.759
KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,19.7316
Global Deluxe High-Back Manager's Chair,600.558,-8.57940000000008
Bevis 44 x 96 Conference Tables,617.7,-407.682
"Avery Durable Slant Ring Binders, No Labels",2.388,-1.8308
"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,30.499
"Global Task Chair, Black",81.424,-9.1602
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,26.2416
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,-11.994
Xerox 1916,78.304,29.364
Staples,21.456,6.9732
Xerox 195,20.04,9.6192
Xerox 1880,35.44,16.6568
"Sanford Colorific Colored Pencils, 12/Box",11.52,3.456
Ideal Clamps,4.02,1.9698
GBC Wire Binding Strips,76.176,26.6616
Fiskars Softgrip Scissors,65.88,18.4464
Longer-Life Soft White Bulbs,43.12,20.6976
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,10.35
Newell 343,8.82,2.3814
Convenience Packs of Business Envelopes,10.86,5.1042
Xerox 1911,143.7,68.976
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,218.2518
Safco Industrial Wire Shelving,671.93,20.1579
"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,12.9096
Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,103.8015
Anker Astro 15000mAh USB Portable Charger,149.97,5.99879999999998
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,585.552
GBC Prestige Therm-A-Bind Covers,171.55,80.6285
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,17.766
Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,15.2388
Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,26.271
Xerox 1883,105.52,48.5392
"Tenex Personal Project File with Scoop Front Design, Black",80.88,21.0288
Newell 311,6.63,1.7901
Global Deluxe High-Back Manager's Chair,457.568,51.4763999999999
Avery 519,14.62,6.8714
Avaya 5420 Digital phone,944.93,236.2325
Xerox 1920,5.98,2.691
Lenovo 17-Key USB Numeric Keypad,54.384,1.3596
Staple envelope,28.4,13.348
Wilson Jones International Size A4 Ring Binders,27.68,9.688
BIC Brite Liner Highlighters,9.936,2.7324
Lexmark MX611dhe Monochrome Laser Printer,8159.952,-1359.992
Space Solutions HD Industrial Steel Shelving.,275.928,-58.6347
SAFCO Arco Folding Chair,1740.06,-24.8580000000002
Sanford Liquid Accent Highlighters,32.064,6.8136
Kensington 7 Outlet MasterPiece Power Center,177.98,-453.849
JBL Micro Wireless Portable Bluetooth Speaker,143.976,8.99850000000001
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,9.8418
Xerox 1913,110.96,53.2608
"Global Value Steno Chair, Gray",340.144,21.259
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,-131.12
Avery 51,20.16,6.552
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,-243.16
"Padded Folding Chairs, Black, 4/Carton",396.802,-11.3371999999999
Acme Rosewood Handle Letter Opener,15.88,-3.7715
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1.4104
"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,1.8612
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,76.6395
AT&T TR1909W,503.96,131.0296
Nokia Lumia 521 (T-Mobile),149.95,41.986
HP Standard 104 key PS/2 Keyboard,29.0,7.25
Avery Poly Binder Pockets,7.16,3.4368
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,22.984
"Personal Filing Tote with Lid, Black/Gray",37.224,3.7224
Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,6.255
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,112.392
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,20.0928
Xerox 205,51.84,24.8832
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,46.9764
4009 Highlighters by Sanford,19.9,6.567
Poly String Tie Envelopes,14.28,6.7116
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,1.2038
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,1.5876
Decoflex Hanging Personal Folder File,46.26,12.0276
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,-2.2586
"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,5.8203
Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,6.795
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,-161.875
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,0.2925
Eureka Sanitaire  Commercial Upright,66.284,-178.9668
"Eldon 200 Class Desk Accessories, Burgundy",35.168,9.6712
Nortel Business Series Terminal T7208 Digital phone,444.768,44.4768
"Tennsco Lockers, Gray",83.92,5.87439999999999
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,35.6346
"Avery Durable Slant Ring Binders, No Labels",15.92,7.4824
"Advantus Push Pins, Aluminum Head",52.29,16.2099
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,3.67959999999999
Memorex Micro Travel Drive 8 GB,20.8,6.5
Avery 505,23.68,8.88
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,-244.323
Speck Products Candyshell Flip Case,62.982,-14.6958
Cisco 9971 IP Video Phone Charcoal,1188.0,-950.4
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,4.47920000000001
"Personal Filing Tote with Lid, Black/Gray",93.06,26.0568
Adtran 1202752G1,302.376,22.6782
OIC Bulk Pack Metal Binder Clips,5.584,1.8148
"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,8.2302
Ibico Standard Transparent Covers,19.776,-13.8432
"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,19.0848
Swingline SM12-08 MicroCut Jam Free Shredder,479.988,-383.9904
Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2.7168
"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2,0.968
Bevis 36 x 72 Conference Tables,622.45,136.939
Rogers Deluxe File Chest,21.98,0.219799999999999
Global Low Back Tilter Chair,161.568,-28.2744
"Global Push Button Manager's Chair, Indigo",389.696,43.8408
GBC Instant Index System for Binding Systems,18.648,-12.432
Bush Advantage Collection Round Conference Table,233.86,-102.048
Bretford Rectangular Conference Table Tops,620.6145,-248.2458
GBC Instant Index System for Binding Systems,5.328,-3.552
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,0.0
Logitech P710e Mobile Speakerphone,617.976,-7.7247000000001
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,4.752
Xerox 1957,25.92,9.396
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,-356.728
Staple-based wall hangings,11.688,-4.6752
PureGear Roll-On Screen Protector,31.984,11.1944
KI Conference Tables,177.225,-120.513
Eldon 100 Class Desk Accessories,4.044,-2.8308
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,1.2038
Global Deluxe High-Back Manager's Chair,2001.86,580.5394
Safco Steel Mobile File Cart,166.72,41.68
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,23.94
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,496.0725
Xerox 205,25.92,12.4416
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,28.1372
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,3.5767
Logitech P710e Mobile Speakerphone,3347.37,636.0003
"Fellowes Personal Hanging Folder Files, Navy",80.58,22.5624
Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,162.864
Eldon 100 Class Desk Accessories,12.132,-8.4924
"Belkin 19"" Vented Equipment Shelf, Black",82.368,-19.5624
"Tenex Personal Project File with Scoop Front Design, Black",53.92,4.044
Logitech Mobile Speakerphone P710e - speaker phone,647.904,56.6916
Sabrent 4-Port USB 2.0 Hub,20.37,6.9258
Safco Industrial Shelving,221.55,6.64650000000002
Acco 3-Hole Punch,17.52,6.132
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,-4.466
Lexmark MX611dhe Monochrome Laser Printer,3059.982,-509.997000000001
Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,-251.9958
Cisco Small Business SPA 502G VoIP phone,328.224,28.7196
Microsoft Sculpt Comfort Mouse,79.9,35.156
"Quartet Omega Colored Chalk, 12/Pack",14.016,4.7304
Bagged Rubber Bands,7.56,0.3024
Safco Commercial Shelving,37.208,-7.4416
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576,21.591
Adjustable Depth Letter/Legal Cart,725.84,210.4936
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,92.3692
Regeneration Desk Collection,5.28,2.3232
Presstex Flexible Ring Binders,10.92,4.095
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82,4.0572
Newell 330,5.98,1.5548
"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",11.648,4.0768
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",18.176,5.9072
Eldon Simplefile Box Office,59.712,5.9712
Avery 489,24.84,8.694
Round Ring Binders,2.08,-3.432
Bose SoundLink Bluetooth Speaker,1114.4,376.11
"Bevis Round Bullnose 29"" High Table Top",1038.84,51.942
Easy-staple paper,141.76,47.844
Microsoft Arc Touch Mouse,239.8,47.96
Xerox 216,31.104,10.8864
GBC VeloBinder Electric Binding Machine,254.058,-169.372
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",194.528,24.316
Premier Automatic Letter Opener,961.48,-204.3145
Advantus SlideClip Paper Clips,19.096,6.6836
Avery 512,18.496,6.2424
Logitech Wireless Gaming Headset G930,255.984,54.3966
"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,-48.7032
"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.416,78.8592
Global Deluxe Office Fabric Chairs,230.352,20.1558
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.352,-24.5646
Ibico Laser Imprintable Binding System Covers,78.6,-62.88
"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",27.552,9.2988
Xerox 223,32.4,15.552
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1082.48,10.8248000000001
Xerox 1939,56.91,27.3168
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,38.024
Avery Premier Heavy-Duty Binder with Round Locking Rings,14.28,6.5688
BPI Conference Tables,219.075,-131.445
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,12.864
Newell 350,9.84,2.8536
"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,20.9208
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,83.868
Faber Castell Col-Erase Pencils,4.89,2.0049
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,3.5948
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.768,52.5114
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.232,1.7136
Avery 509,6.264,2.0358
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",87.54,37.6422
AT&T 1070 Corded Phone,178.384,22.298
Xerox 21,15.552,5.4432
"Boston School Pro Electric Pencil Sharpener, 1670",99.136,8.6744
DMI Arturo Collection Mission-style Design Wood Chair,135.882,24.1568
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1995.99
Panasonic Kx-TS550,275.94,80.0226
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,360.0,129.6
"Trav-L-File Heavy-Duty Shuttle II, Black",43.57,13.071
OIC Binder Clips,7.16,3.58
Ibico Laser Imprintable Binding System Covers,251.52,81.744
Logitech Wireless Headset h800,99.99,34.9965
Telescoping Adjustable Floor Lamp,15.992,0.999499999999999
Aastra 57i VoIP phone,290.898,-67.8762
"File Shuttle II and Handi-File, Black",54.224,3.389
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,786.744,-258.5016
Round Specialty Laser Printer Labels,100.24,33.831
GBC Premium Transparent Covers with Diagonal Lined Pattern,37.764,-27.6936
AT&T 841000 Phone,82.8,-20.7
Ibico Recycled Grain-Textured Covers,20.724,-13.816
Wilson Jones Custom Binder Spines & Labels,4.896,-3.4272
Storex Dura Pro Binders,4.752,1.6038
Hewlett Packard LaserJet 3310 Copier,959.984,335.9944
Avery Non-Stick Binders,14.368,4.49
Tuff Stuff Recycled Round Ring Binders,7.712,2.7956
Hon 5100 Series Wood Tables,698.352,-17.4588000000001
"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4.96,2.3312
Newell 314,17.856,1.116
Fellowes PB200 Plastic Comb Binding Machine,509.97,-407.976
Staples,30.992,10.0724
"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",71.928,8.39159999999999
Fellowes Super Stor/Drawer,88.8,-2.22000000000001
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.976,4.7976
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",7.56,3.0996
Easy-staple paper,24.56,11.5432
"BIC Brite Liner Highlighters, Chisel Tip",12.96,4.1472
Sabrent 4-Port USB 2.0 Hub,6.79,2.3086
Xerox 1881,24.56,11.5432
Acco Hanging Data Binders,3.048,1.0668
Xerox 1881,49.12,23.0864
GBC DocuBind P400 Electric Binding System,4355.168,1415.4296
Sauder Barrister Bookcases,388.704,-4.8588
"#10 Gummed Flap White Envelopes, 100/Box",8.26,3.7996
"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",17.04,6.9864
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",34.4,15.824
Southworth 25% Cotton Linen-Finish Paper & Envelopes,36.24,11.325
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,168.4384
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",20.7,9.936
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",20.7,9.936
Global Ergonomic Managers Chair,488.646,86.8704
Newell 333,5.56,1.4456
Eldon Wave Desk Accessories,47.12,20.7328
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,8.47839999999999
Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,23.2,10.44
Staple remover,7.36,0.1472
Pizazz Global Quick File,104.79,29.3412
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,271.4192
Xerox 1930,25.92,9.396
File Shuttle I and Handi-File,53.424,4.6746
Wilson Jones Custom Binder Spines & Labels,8.16,-5.712
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.936,179.1888
Newell 324,9.24,0.924
Microsoft Natural Keyboard Elite,479.04,-29.94
Xerox 1960,99.136,30.98
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,-297.6848
Holmes Odor Grabber,8.652,-20.3322
Akro-Mils 12-Gallon Tote,23.832,2.6811
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",12.176,-18.8728
Southworth Structures Collection,50.96,25.48
"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,17.3376
Sony 32GB Class 10 Micro SDHC R40 Memory Card,41.9,8.799
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.4575,-157.0095
Logitech Media Keyboard K200,83.976,-1.04970000000001
Lexmark MarkNet N8150 Wireless Print Server,482.34,-337.638
3M Hangers With Command Adhesive,2.96,0.777
Crayola Colored Pencils,2.624,0.4264
"Angle-D Binders with Locking Rings, Label Holders",23.36,7.884
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,39.98,13.5932
Nortel Meridian M3904 Professional Digital phone,246.384,27.7182
Canon PC1080F Personal Copier,1799.97,701.9883
Wilson Jones Century Plastic Molded Ring Binders,12.462,-20.5623
Tuf-Vin Binders,75.792,25.5798
2300 Heavy-Duty Transfer File Systems by Perma,49.96,9.4924
Xerox 1958,12.96,6.2208
"Acme 10"" Easy Grip Assistive Scissors",70.12,21.036
Super Decoflex Portable Personal File,35.952,3.5952
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,-317.1528
"Contico 72""H Heavy-Duty Storage System",131.136,-32.784
Sony 64GB Class 10 Micro SDHC R40 Memory Card,57.584,0.719799999999999
Xerox 1974,9.568,3.4684
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",39.072,9.768
Staple holder,35.91,9.6957
Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95,37.7895
Sharp AL-1530CS Digital Copier,1199.976,434.9913
"Wirebound Message Book, 4 per Page",27.15,13.3035
"Bevis Round Conference Table Top, X-Base",1004.024,-112.9527
"Wirebound Service Call Books, 5 1/2"" x 4""",9.68,4.6464
Self-Adhesive Removable Labels,28.35,13.608
Xerox 1908,55.98,27.4302
O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,31.4548
Novimex High-Tech Fabric Mesh Task Chair,113.568,-18.4548
Xerox 191,139.86,65.7342
Global Deluxe Office Fabric Chairs,307.136,26.8744
Bulldog Vacuum Base Pencil Sharpener,95.92,25.8984
Bevis Steel Folding Chairs,383.8,38.38
Xerox 1987,5.78,2.8322
American Pencil,9.32,2.7028
"White Envelopes, White Envelopes with Clear Poly Window",15.25,7.015
KeyTronic 6101 Series - Keyboard - Black,196.752,56.5662
"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",56.56,14.7056
Crate-A-Files,32.7,8.502
Hon Multipurpose Stacking Arm Chairs,866.4,225.264
Coloredge Poster Frame,28.4,11.076
GBC VeloBinder Manual Binding System,287.92,138.202
"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",69.99,30.0957
Design Ebony Sketching Pencil,6.672,0.5004
GBC ProClick 150 Presentation Binding System,189.588,-145.3508
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,76.6395
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,291.96,54.7425
Woodgrain Magazine Files by Perma,4.768,-0.774800000000001
Letter Size Cart,714.3,207.147
Insertable Tab Post Binder Dividers,4.812,-3.6892
Belkin QODE FastFit Bluetooth Keyboard,247.8,-18.585
"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.979,43.1991
Xerox 1908,313.488,113.6394
Xerox 1897,31.872,11.5536
Global Deluxe Steno Chair,207.846,2.30939999999999
Aluminum Document Frame,12.22,3.666
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,194.94,23.3928
Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,70.95,20.5755
"Xerox Color Copier Paper, 11"" x 17"", Ream",91.36,42.0256
Office Star - Ergonomically Designed Knee Chair,242.94,29.1528
Avery 520,22.05,10.584
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91,1.3677
Newell 345,59.52,15.4752
Fellowes Bankers Box Recycled Super Stor/Drawer,161.94,9.71639999999999
